State,City,Case_Type,Resource_Name,Resource_Type,Contact,search_key
Andhra Pradesh,Guntur,Child Abuse,District Legal Services Authority - Guntur 87,District Legal Services Authority,+91-8214642551,Child Abuse Guntur Andhra Pradesh
Gujarat,Ahmedabad,Domestic Violence,Childline - Ahmedabad 48,Childline,+91-8470174827,Domestic Violence Ahmedabad Gujarat
Maharashtra,Mumbai,Domestic Violence,Elder Help NGO - Mumbai 7,Elder Help NGO,+91-8738929975,Domestic Violence Mumbai Maharashtra
Madhya Pradesh,Jabalpur,Caste Discrimination,Legal Aid NGO - Jabalpur 60,Legal Aid NGO,+91-9863962864,Caste Discrimination Jabalpur Madhya Pradesh
Assam,Guwahati,Senior Citizen Abuse,District Legal Services Authority - Guwahati 99,District Legal Services Authority,+91-8591083897,Senior Citizen Abuse Guwahati Assam
Gujarat,Ahmedabad,Senior Citizen Abuse,Legal Aid NGO - Ahmedabad 49,Legal Aid NGO,+91-8624177140,Senior Citizen Abuse Ahmedabad Gujarat
Gujarat,Vadodara,Caste Discrimination,Cyber Helpline - Vadodara 4,Cyber Helpline,+91-8712852828,Caste Discrimination Vadodara Gujarat
Punjab,Chandigarh,Senior Citizen Abuse,Elder Help NGO - Chandigarh 29,Elder Help NGO,+91-8102608468,Senior Citizen Abuse Chandigarh Punjab
Jammu & Kashmir,Srinagar,Sexual Harassment,Childline - Srinagar 91,Childline,+91-7366048743,Sexual Harassment Srinagar Jammu & Kashmir
Madhya Pradesh,Jabalpur,Cyber Crime,Cyber Helpline - Jabalpur 59,Cyber Helpline,+91-9181663311,Cyber Crime Jabalpur Madhya Pradesh
Jammu & Kashmir,Srinagar,Domestic Violence,Legal Aid NGO - Srinagar 47,Legal Aid NGO,+91-8386428083,Domestic Violence Srinagar Jammu & Kashmir
Bihar,Gaya,Child Abuse,Women's Helpline - Gaya 19,Women's Helpline,+91-9248468075,Child Abuse Gaya Bihar
Maharashtra,Pune,Caste Discrimination,Cyber Helpline - Pune 10,Cyber Helpline,+91-7022212985,Caste Discrimination Pune Maharashtra
Andhra Pradesh,Visakhapatnam,Dowry,Legal Clinic - Visakhapatnam 63,Legal Clinic,+91-7509399941,Dowry Visakhapatnam Andhra Pradesh
West Bengal,Siliguri,Child Abuse,Cyber Helpline - Siliguri 25,Cyber Helpline,+91-8454982554,Child Abuse Siliguri West Bengal
Punjab,Chandigarh,Child Abuse,Elder Help NGO - Chandigarh 53,Elder Help NGO,+91-7981068430,Child Abuse Chandigarh Punjab
Bihar,Gaya,Child Abuse,Legal Clinic - Gaya 96,Legal Clinic,+91-9984006042,Child Abuse Gaya Bihar
Delhi,New Delhi,Senior Citizen Abuse,Legal Clinic - New Delhi 36,Legal Clinic,+91-9050328332,Senior Citizen Abuse New Delhi Delhi
Telangana,Warangal,Senior Citizen Abuse,Cyber Helpline - Warangal 58,Cyber Helpline,+91-9693631245,Senior Citizen Abuse Warangal Telangana
Haryana,Faridabad,Domestic Violence,Childline - Faridabad 87,Childline,+91-9923371380,Domestic Violence Faridabad Haryana
Gujarat,Ahmedabad,Domestic Violence,Legal Clinic - Ahmedabad 6,Legal Clinic,+91-8801023817,Domestic Violence Ahmedabad Gujarat
Chhattisgarh,Raipur,Property Dispute,District Legal Services Authority - Raipur 68,District Legal Services Authority,+91-9653088992,Property Dispute Raipur Chhattisgarh
Punjab,Ludhiana,Senior Citizen Abuse,Legal Aid NGO - Ludhiana 53,Legal Aid NGO,+91-9945485235,Senior Citizen Abuse Ludhiana Punjab
Chhattisgarh,Bilaspur,Domestic Violence,Legal Aid NGO - Bilaspur 88,Legal Aid NGO,+91-7732030868,Domestic Violence Bilaspur Chhattisgarh
Uttar Pradesh,Kanpur,Senior Citizen Abuse,Legal Clinic - Kanpur 28,Legal Clinic,+91-7500947678,Senior Citizen Abuse Kanpur Uttar Pradesh
Gujarat,Vadodara,Sexual Harassment,Legal Clinic - Vadodara 97,Legal Clinic,+91-9800375086,Sexual Harassment Vadodara Gujarat
West Bengal,Howrah,Domestic Violence,Elder Help NGO - Howrah 68,Elder Help NGO,+91-8288411782,Domestic Violence Howrah West Bengal
Maharashtra,Mumbai,Sexual Harassment,Cyber Helpline - Mumbai 48,Cyber Helpline,+91-8555675231,Sexual Harassment Mumbai Maharashtra
Jammu & Kashmir,Jammu,Property Dispute,Women's Helpline - Jammu 58,Women's Helpline,+91-9981543386,Property Dispute Jammu Jammu & Kashmir
Assam,Dibrugarh,Child Abuse,District Legal Services Authority - Dibrugarh 58,District Legal Services Authority,+91-8719519216,Child Abuse Dibrugarh Assam
Andhra Pradesh,Guntur,Child Abuse,Cyber Helpline - Guntur 41,Cyber Helpline,+91-9784121600,Child Abuse Guntur Andhra Pradesh
West Bengal,Kolkata,Child Abuse,Legal Aid NGO - Kolkata 19,Legal Aid NGO,+91-8997705652,Child Abuse Kolkata West Bengal
Rajasthan,Jodhpur,Senior Citizen Abuse,Childline - Jodhpur 75,Childline,+91-7356761278,Senior Citizen Abuse Jodhpur Rajasthan
Chhattisgarh,Durg,Domestic Violence,Elder Help NGO - Durg 70,Elder Help NGO,+91-8562376399,Domestic Violence Durg Chhattisgarh
Uttar Pradesh,Varanasi,Caste Discrimination,Legal Clinic - Varanasi 18,Legal Clinic,+91-7739373085,Caste Discrimination Varanasi Uttar Pradesh
Assam,Guwahati,Cyber Crime,Childline - Guwahati 81,Childline,+91-8708639387,Cyber Crime Guwahati Assam
Assam,Dibrugarh,Domestic Violence,Legal Aid NGO - Dibrugarh 8,Legal Aid NGO,+91-8513085412,Domestic Violence Dibrugarh Assam
Odisha,Bhubaneswar,Sexual Harassment,Legal Clinic - Bhubaneswar 53,Legal Clinic,+91-8280362348,Sexual Harassment Bhubaneswar Odisha
Tamil Nadu,Madurai,Child Abuse,Women's Helpline - Madurai 1,Women's Helpline,+91-7490961199,Child Abuse Madurai Tamil Nadu
Kerala,Kochi,Sexual Harassment,Childline - Kochi 4,Childline,+91-9406006654,Sexual Harassment Kochi Kerala
Andhra Pradesh,Visakhapatnam,Caste Discrimination,Legal Clinic - Visakhapatnam 58,Legal Clinic,+91-7783545916,Caste Discrimination Visakhapatnam Andhra Pradesh
Uttar Pradesh,Varanasi,Senior Citizen Abuse,District Legal Services Authority - Varanasi 57,District Legal Services Authority,+91-9709272662,Senior Citizen Abuse Varanasi Uttar Pradesh
