State,City,Case_Type,Resource_Name,Resource_Type,Contact
Andhra Pradesh,Guntur,Child Abuse,District Legal Services Authority - Guntur 87,District Legal Services Authority,+91-8214642551
Gujarat,Ahmedabad,Domestic Violence,Childline - Ahmedabad 48,Childline,+91-8470174827
Maharashtra,Mumbai,Domestic Violence,Elder Help NGO - Mumbai 7,Elder Help NGO,+91-8738929975
Madhya Pradesh,Jabalpur,Caste Discrimination,Legal Aid NGO - Jabalpur 60,Legal Aid NGO,+91-9863962864
Assam,Guwahati,Senior Citizen Abuse,District Legal Services Authority - Guwahati 99,District Legal Services Authority,+91-8591083897
Gujarat,Ahmedabad,Senior Citizen Abuse,Legal Aid NGO - Ahmedabad 49,Legal Aid NGO,+91-8624177140
Gujarat,Vadodara,Caste Discrimination,Cyber Helpline - Vadodara 4,Cyber Helpline,+91-8712852828
Punjab,Chandigarh,Senior Citizen Abuse,Elder Help NGO - Chandigarh 29,Elder Help NGO,+91-8102608468
Jammu & Kashmir,Srinagar,Sexual Harassment,Childline - Srinagar 91,Childline,+91-7366048743
Madhya Pradesh,Jabalpur,Cyber Crime,Cyber Helpline - Jabalpur 59,Cyber Helpline,+91-9181663311
Jammu & Kashmir,Srinagar,Domestic Violence,Legal Aid NGO - Srinagar 47,Legal Aid NGO,+91-8386428083
Bihar,Gaya,Child Abuse,Women's Helpline - Gaya 19,Women's Helpline,+91-9248468075
Maharashtra,Pune,Caste Discrimination,Cyber Helpline - Pune 10,Cyber Helpline,+91-7022212985
Andhra Pradesh,Visakhapatnam,Dowry,Legal Clinic - Visakhapatnam 63,Legal Clinic,+91-7509399941
West Bengal,Siliguri,Child Abuse,Cyber Helpline - Siliguri 25,Cyber Helpline,+91-8454982554
Punjab,Chandigarh,Child Abuse,Elder Help NGO - Chandigarh 53,Elder Help NGO,+91-7981068430
Bihar,Gaya,Child Abuse,Legal Clinic - Gaya 96,Legal Clinic,+91-9984006042
Delhi,New Delhi,Senior Citizen Abuse,Legal Clinic - New Delhi 36,Legal Clinic,+91-9050328332
Telangana,Warangal,Senior Citizen Abuse,Cyber Helpline - Warangal 58,Cyber Helpline,+91-9693631245
Haryana,Faridabad,Domestic Violence,Childline - Faridabad 87,Childline,+91-9923371380
Gujarat,Ahmedabad,Domestic Violence,Legal Clinic - Ahmedabad 6,Legal Clinic,+91-8801023817
Chhattisgarh,Raipur,Property Dispute,District Legal Services Authority - Raipur 68,District Legal Services Authority,+91-9653088992
Punjab,Ludhiana,Senior Citizen Abuse,Legal Aid NGO - Ludhiana 53,Legal Aid NGO,+91-9945485235
Chhattisgarh,Bilaspur,Domestic Violence,Legal Aid NGO - Bilaspur 88,Legal Aid NGO,+91-7732030868
Uttar Pradesh,Kanpur,Senior Citizen Abuse,Legal Clinic - Kanpur 28,Legal Clinic,+91-7500947678
Gujarat,Vadodara,Sexual Harassment,Legal Clinic - Vadodara 97,Legal Clinic,+91-9800375086
West Bengal,Howrah,Domestic Violence,Elder Help NGO - Howrah 68,Elder Help NGO,+91-8288411782
